config,scheme,run,prr,pir_ms,collision_frac,pssch_fail_frac,lat_p50_ms,lat_p95_ms,within_pdb,sel_count,backoff_frac,backoff_steps_mean,hd_excl_frac,rsrp_excl_frac
retx1,random,1.0,0.5904,33.88952609138402,0.4136,0.15815384615384614,12.064206999999882,110.17303099999953,0.85121594636999,,,,,
retx1,random,2.0,0.5188,39.434747458722924,0.4846,0.2033040751337633,14.409779999999373,111.72058200000023,0.8415980197216248,,,,,
retx1,random,3.0,0.6089684210526316,34.7118896601123,0.3774,0.14371984251502323,11.50502100000006,103.89084899999989,0.8809894212818917,,,,,
retx1,random,4.0,0.6062842105263158,34.57989019108621,0.394,0.152960381187682,14.587069999999702,105.82861399999999,0.8659131551990555,,,,,
retx1,random,5.0,0.6018842105263158,36.170166282814876,0.4016,0.1529915416179063,12.386459000000016,110.52681500000006,0.8601934276570069,,,,,
retx1,sensing,1.0,0.8800947368421053,22.389753069031812,0.0432,0.014370255104446644,11.099672000000282,18.44117100000009,0.9693693262687031,103.0,0.0,0.0,0.12358992140545544,0.48373593774079204
retx1,sensing,2.0,0.8862842105263158,22.213198065446175,0.0368,0.012803526832299593,11.618096999999938,18.72058199999982,0.9774576291316793,106.0,0.0,0.0,0.11493336328241988,0.4708838724168912
retx1,sensing,3.0,0.9083473684210527,22.02961206805409,0.0,0.0007758221398795739,11.24552000000012,18.598107999999947,0.9804271493632161,105.0,0.0,0.0,0.12701814058956906,0.5014351851851853
retx1,sensing,4.0,0.882621052631579,22.57867532284165,0.04,0.014039956257422716,12.535948000000019,18.66586699999928,0.9719376498228959,111.0,0.0,0.0,0.1205312455312455,0.4834906334906335
retx1,sensing,5.0,0.8872736842105263,22.470670221897173,0.028,0.01100564361895599,11.878561999999704,18.228565000000252,0.9751812174490753,108.0,0.0,0.0,0.12407039976484402,0.48892563198118755
retx2-sub10-mu1,random,1.0,0.7785894736842105,25.88990944214394,0.1708,0.09907429963459197,6.888612000000016,64.59361000000018,0.9262363788767812,,,,,
retx2-sub10-mu1,random,2.0,0.7729368421052631,26.106461376051257,0.1731,0.10329962876123486,7.10883200000012,54.073760000000526,0.9328058396546324,,,,,
retx2-sub10-mu1,random,3.0,0.7414315789473684,27.14290995656245,0.1878,0.09765690054958429,6.259379999999926,66.58009499999994,0.9248395706740871,,,,,
retx2-sub10-mu1,random,4.0,0.7301684210526316,27.934072837515966,0.2258,0.13689528170416085,7.193982999999626,82.70158499999968,0.9117290891791368,,,,,
retx2-sub10-mu1,random,5.0,0.714421052631579,28.515573633941084,0.2065,0.1286429580177173,6.922176999999863,86.93881299999973,0.8999115956976573,,,,,
retx2-sub10-mu1,sensing,1.0,0.8889684210526316,22.4529150986418,0.0196,0.005159618329603015,6.599924999999729,15.41191200000025,0.9750982806801497,103.0,0.0,0.0,0.11841103879938863,0.18731438939891243
retx2-sub10-mu1,sensing,2.0,0.8920947368421053,22.54583658102219,0.0118,0.00666916711596615,6.653814999999952,14.313318999999769,0.9798581694179282,106.0,0.0,0.0,0.11511039829574776,0.18603551138096075
retx2-sub10-mu1,sensing,3.0,0.8966736842105263,22.402859301341223,0.011,0.000539716062419336,6.253972000000108,15.012046999999917,0.978857531930879,105.0,0.0,0.0,0.11471609156483109,0.18910014541947306
retx2-sub10-mu1,sensing,4.0,0.8756526315789473,23.112225013916028,0.0238,0.017213269694248853,6.693982999999903,15.348844000000028,0.9728683568346016,111.0,0.0,0.0,0.11908008525655589,0.1877223099281924
retx2-sub10-mu1,sensing,5.0,0.8761263157894736,23.004609570327577,0.019,0.011660768993279027,6.741396999999871,14.507108999999296,0.9718978277585544,108.0,0.0,0.0,0.11452692187986302,0.1819448334889513
retx2-sub10,random,1.0,0.6489578947368421,31.0054461028054,0.1906,0.10714130544975307,8.441171000000303,76.54006299999993,0.912572383254124,,,,,
retx2-sub10,random,2.0,0.6574631578947369,32.35767011240967,0.1769,0.09379896697812083,9.777600999999692,83.39295500000077,0.9113018139899774,,,,,
retx2-sub10,random,3.0,0.6503052631578947,32.031647655089216,0.17,0.08146242826132208,7.913860999999578,67.59810799999943,0.9236148205700966,,,,,
retx2-sub10,random,4.0,0.6644210526315789,31.126686686978942,0.1587,0.08706971362452993,9.823021999999959,70.56328300000025,0.916714195183777,,,,,
retx2-sub10,random,5.0,0.7023052631578948,29.493118276146017,0.1545,0.07195515495465421,9.301871999999989,64.40750400000006,0.9257332993600024,,,,,
retx2-sub10,sensing,1.0,0.7656526315789474,26.746640127790464,0.0116,0.005237964989059081,8.606792999999335,23.057891999999747,0.949984189614639,103.0,0.0,0.0,0.24717984281091088,0.17044797422744706
